Date,Open,High,Low,Close,Volume,,
06/10/2005,13.128,13.276,12.881,12.96,687579,,
07/10/2005,13.049,13.216,13.01,13.079,361142,,
10/10/2005,13.45,13.695,12.97,12.98,426890,,
11/10/2005,13.049,13.266,12.97,13.01,494471,,
12/10/2005,12.98,13.216,12.801,12.97,367103,,
13/10/2005,12.92,12.99,12.587,12.861,543400,,
14/10/2005,12.94,13.236,12.851,12.94,337597,,
17/10/2005,12.95,13.02,12.626,12.722,305028,,
18/10/2005,12.722,12.821,12.567,12.654,308393,,
19/10/2005,12.654,13.02,12.479,13.02,437746,,
20/10/2005,13.02,13.295,12.722,12.881,387443,,
21/10/2005,12.89,13.177,12.89,12.98,248614,,
24/10/2005,13.108,13.391,13.079,13.352,271545,,
25/10/2005,13.305,13.891,13.177,13.842,584831,,
26/10/2005,13.842,15.041,13.754,14.246,894909,,
27/10/2005,14.177,14.177,13.607,13.666,334847,,
28/10/2005,13.509,13.509,12.362,12.881,2007538,,
31/10/2005,13.029,13.148,12.645,12.881,850262,,
01/11/2005,12.801,13,12.654,12.841,295244,,
02/11/2005,12.841,13.196,12.626,13.168,285919,,
03/11/2005,13.362,13.607,13.256,13.332,411142,,
04/11/2005,13.332,13.47,13.158,13.401,277507,,
07/11/2005,13.391,13.568,13.322,13.45,368942,,
08/11/2005,13.381,13.48,13.196,13.411,369399,,
09/11/2005,13.411,13.568,13.285,13.314,227054,,
10/11/2005,13.352,13.764,13.352,13.647,627491,,
11/11/2005,13.657,13.657,13.401,13.509,364662,,
14/11/2005,13.509,13.774,13.489,13.764,260383,,
15/11/2005,13.724,13.754,13.509,13.587,504410,,
16/11/2005,13.577,13.627,13.509,13.607,400435,,
17/11/2005,13.539,13.607,13.47,13.568,446914,,
18/11/2005,13.744,13.9,13.568,13.891,399674,,
21/11/2005,13.891,14.276,13.842,14.206,313590,,
22/11/2005,14.147,14.177,13.9,14.008,398755,,
23/11/2005,14.008,14.187,13.9,13.968,186228,,
25/11/2005,13.92,13.94,13.685,13.91,59628,,
28/11/2005,13.852,13.852,13.509,13.577,312066,,
29/11/2005,13.499,13.705,13.43,13.46,294021,,
30/11/2005,13.509,13.705,13.411,13.587,610516,,
01/12/2005,13.666,13.813,13.587,13.637,377199,,
02/12/2005,13.666,13.822,13.509,13.813,248303,,
05/12/2005,13.734,13.734,13.352,13.46,467559,,
06/12/2005,13.587,13.754,13.391,13.509,345089,,
07/12/2005,13.519,13.647,13.342,13.519,226441,,
08/12/2005,13.587,13.647,13.411,13.549,338818,,
09/12/2005,13.549,13.822,13.549,13.803,320474,,
12/12/2005,13.881,14.038,13.842,13.968,272157,,
13/12/2005,13.998,14.196,13.93,13.959,465877,,
14/12/2005,14.018,14.334,13.959,14.098,288515,,
15/12/2005,14.098,14.137,13.9,13.9,396769,,
16/12/2005,13.91,13.93,13.647,13.734,589877,,
19/12/2005,13.666,13.666,13.314,13.411,289434,,
20/12/2005,13.352,13.46,13.148,13.226,369248,,
21/12/2005,13.256,13.47,13.196,13.314,187146,,
22/12/2005,13.381,13.685,13.352,13.627,526732,,
23/12/2005,13.627,13.724,13.627,13.705,166811,,
27/12/2005,13.794,13.794,13.549,13.568,284542,,
28/12/2005,13.568,13.724,13.568,13.695,182406,,
29/12/2005,13.685,14.117,13.666,13.94,406247,,
30/12/2005,13.832,14.018,13.734,13.784,228886,,
03/01/2006,13.9,14.276,13.617,14.187,462513,,
04/01/2006,14.196,14.206,13.9,13.998,327965,,
05/01/2006,13.968,13.978,13.784,13.803,231487,,
06/01/2006,13.94,14.058,13.705,14.058,325213,,
09/01/2006,14.078,14.412,14.038,14.325,780383,,
10/01/2006,14.226,14.432,14.196,14.372,432238,,
11/01/2006,14.412,14.687,14.246,14.627,710819,,
12/01/2006,14.627,14.667,14.372,14.442,286377,,
13/01/2006,14.442,14.442,14.266,14.334,211149,,
17/01/2006,14.334,14.452,14.246,14.392,295855,,
18/01/2006,14.392,14.578,14.296,14.452,496459,,
19/01/2006,14.548,15.177,14.548,15.108,350596,,
20/01/2006,15.217,15.305,14.922,15.011,428569,,
23/01/2006,15.138,15.276,14.667,14.717,319706,,
24/01/2006,14.793,15.118,14.745,15.061,337290,,
25/01/2006,15.061,15.295,15.021,15.08,346773,,
26/01/2006,15.177,15.237,15.031,15.138,518784,,
27/01/2006,15.177,15.412,15.147,15.394,327200,,
30/01/2006,15.394,15.431,15.051,15.138,311910,,
31/01/2006,15.217,15.725,15.187,15.725,430403,,
01/02/2006,15.745,15.764,15.295,15.549,259312,,
02/02/2006,15.558,15.626,15.061,15.187,251360,,
03/02/2006,15.197,15.354,15.08,15.237,262832,,
06/02/2006,15.237,15.237,15.041,15.138,340042,,
07/02/2006,15.138,15.354,15.041,15.118,182102,,
08/02/2006,15.177,15.354,15.157,15.237,282553,,
09/02/2006,15.412,15.923,15.412,15.646,664035,,
10/02/2006,15.646,15.913,15.539,15.863,828549,,
13/02/2006,15.843,16.16,15.656,16.061,540798,,
14/02/2006,16.091,16.091,15.803,15.913,452729,,
15/02/2006,15.913,16.16,15.735,16.15,321696,,
16/02/2006,16.16,16.315,16.042,16.315,555935,,
17/02/2006,16.111,16.354,16.111,16.277,296010,,
21/02/2006,16.259,16.287,15.923,16.2,485756,,
22/02/2006,16.17,16.48,16.17,16.354,733599,,
23/02/2006,16.776,17.306,16.747,17.002,1147797,,
24/02/2006,17.002,17.199,16.608,17.159,987560,,
27/02/2006,17.159,17.259,16.952,17.159,712043,,
28/02/2006,17.169,17.229,17.021,17.139,491567,,
